; Sample;Value
; 11; 1.5
; 36; 1.5
; 61; 1.5
; 86; 1.3999999761581421
; 111; 1.3999999761581421
; 136; 1.3999999761581421
; 161; 1.1000000238418579
; 186; 1.1000000238418579
; 211; 1.1000000238418579
; 236; 1.1000000238418579
; 261; -5.5
; 286; -5.5
; 311; -5.5
; 336; -5.5
; 361; -4.8000001907348633
; 386; -4.8000001907348633
; 411; -4.8000001907348633
; 436; -4.8000001907348633
; 461; -5
; 486; -5
; 511; -5
; 537; -5
; 561; -5.4000000953674316
; 586; -5.4000000953674316
; 611; -5.4000000953674316
; 636; -5.4000000953674316
; 661; -5.5
; 686; -5.5
; 711; -5.5
; 736; -5.5
; 761; -3
; 786; -3
; 811; -3
; 836; -3
; 861; -0.40000000596046448
; 886; -0.40000000596046448
; 911; -0.40000000596046448
; 936; 0
; 961; 0
; 986; 0
; 1011; 0
; 1036; 2.2000000476837158
; 1061; 2.2000000476837158
; 1086; 2.2000000476837158
; 1111; 2.2000000476837158
; 1136; 2.2999999523162842
; 1161; 2.2999999523162842
; 1186; 2.2999999523162842
; 1211; 2.2999999523162842
; 1236; -1
; 1261; -1
; 1286; -1
; 1311; -1
; 1336; -4.0999999046325684
; 1361; -4.0999999046325684
; 1386; -4.0999999046325684
; 1411; -4.0999999046325684
; 1436; -5.1999998092651367
; 1461; -5.1999998092651367
; 1486; -5.1999998092651367
; 1511; -5.1999998092651367
; 1536; -6.9000000953674316
; 1561; -6.9000000953674316
; 1586; -6.9000000953674316
; 1611; -6.9000000953674316
; 1636; -6.6999998092651367
; 1661; -6.6999998092651367
; 1686; -6.6999998092651367
; 1711; -2.7999999523162842
; 1736; -2.7999999523162842
; 1761; -2.7999999523162842
; 1786; -2.7999999523162842
; 1811; 0.30000001192092896
; 1836; 0.30000001192092896
; 1861; 0.30000001192092896
; 1886; 0.30000001192092896
; 1911; 2.2000000476837158
; 1936; 2.2000000476837158
; 1961; 2.2000000476837158
; 1986; 2.2000000476837158
; 2011; 1.5
; 2036; 1.5
; 2061; 1.5
; 2086; 1.5
; 2111; 1.7000000476837158
; 2136; 1.7000000476837158
; 2161; 1.7000000476837158
; 2186; 1.7000000476837158
; 2211; -3.9000000953674316
; 2236; -3.9000000953674316
; 2261; -3.9000000953674316
; 2286; -3.9000000953674316
; 2311; -5.1999998092651367
; 2336; -5.1999998092651367
; 2361; -5.1999998092651367
; 2386; -5.1999998092651367
; 2411; -5.1999998092651367
; 2436; -5.1999998092651367
; 2461; -5.1999998092651367
; 2486; -5.1999998092651367
; 2511; -5.1999998092651367
; 2536; -5.1999998092651367
; 2561; -5.1999998092651367
; 2586; -5
; 2611; -5
; 2636; -5
; 2661; -5
; 2686; -2.5
; 2711; -2.5
; 2736; -2.5
; 2761; -2.5
; 2786; 0.5
; 2811; 0.5
; 2836; 0.5
; 2861; 0.5
; 2886; 0.60000002384185791
